year,cowcode,country,xpers
1953,40,Cuba,.43382025
1954,40,Cuba,.43382025
1955,40,Cuba,.43382025
1956,40,Cuba,.43382025
1957,40,Cuba,.52077049
1958,40,Cuba,.58450258
1959,40,Cuba,.58450258
1960,40,Cuba,.52077049
1961,40,Cuba,.52077049
1962,40,Cuba,.49399492
1963,40,Cuba,.66232759
1964,40,Cuba,.66232759
1965,40,Cuba,.66232759
1966,40,Cuba,.80163735
1967,40,Cuba,1
1968,40,Cuba,1
1969,40,Cuba,1
1970,40,Cuba,1
1971,40,Cuba,.66232759
1972,40,Cuba,.66232759
1973,40,Cuba,.66232759
1974,40,Cuba,.66232759
1975,40,Cuba,.66232759
1976,40,Cuba,.66232759
1977,40,Cuba,.66232759
1978,40,Cuba,.66232759
1979,40,Cuba,.66232759
1980,40,Cuba,.66232759
1981,40,Cuba,.66232759
1982,40,Cuba,.66232759
1983,40,Cuba,.66232759
1984,40,Cuba,.66232759
1985,40,Cuba,.66232759
1986,40,Cuba,.66232759
1987,40,Cuba,.66232759
1988,40,Cuba,.66232759
1989,40,Cuba,.66232759
1990,40,Cuba,.66232759
1991,40,Cuba,.66232759
1992,40,Cuba,.66232759
1993,40,Cuba,.66232759
1994,40,Cuba,.66232759
1995,40,Cuba,.66232759
1996,40,Cuba,.66232759
1997,40,Cuba,.66232759
1998,40,Cuba,.66232759
1999,40,Cuba,.66232759
2000,40,Cuba,.66232759
2001,40,Cuba,.66232759
2002,40,Cuba,.66232759
2003,40,Cuba,.66232759
2004,40,Cuba,.66232759
2005,40,Cuba,.66232759
2006,40,Cuba,.66232759
2007,40,Cuba,.42150977
2008,40,Cuba,.42150977
2009,40,Cuba,.42150977
2010,40,Cuba,.42150977
1946,41,Haiti,.52077049
1951,41,Haiti,.35681182
1952,41,Haiti,.35681182
1953,41,Haiti,.35681182
1954,41,Haiti,.35681182
1955,41,Haiti,.35681182
1956,41,Haiti,.35681182
1958,41,Haiti,.67398053
1959,41,Haiti,.74885744
1960,41,Haiti,.87193984
1961,41,Haiti,.87193984
1962,41,Haiti,.87193984
1963,41,Haiti,.87193984
1964,41,Haiti,.87193984
1965,41,Haiti,.87193984
1966,41,Haiti,.87193984
1967,41,Haiti,.87193984
1968,41,Haiti,.87193984
1969,41,Haiti,.87193984
1970,41,Haiti,.87193984
1971,41,Haiti,.87193984
1972,41,Haiti,.58450258
1973,41,Haiti,.58450258
1974,41,Haiti,.58450258
1975,41,Haiti,.58450258
1976,41,Haiti,.58450258
1977,41,Haiti,.58450258
1978,41,Haiti,.58450258
1979,41,Haiti,.58450258
1980,41,Haiti,.58450258
1981,41,Haiti,.58450258
1982,41,Haiti,.58450258
1983,41,Haiti,.58450258
1984,41,Haiti,.58450258
1985,41,Haiti,.58450258
1986,41,Haiti,.58450258
1987,41,Haiti,0
1988,41,Haiti,0
1989,41,Haiti,.52077049
1990,41,Haiti,.52077049
1992,41,Haiti,0
1993,41,Haiti,0
1994,41,Haiti,.16828956
2000,41,Haiti,.35681182
2001,41,Haiti,.35681182
2002,41,Haiti,.41961691
2003,41,Haiti,.41961691
2004,41,Haiti,.41961691
1946,42,Dominican Republic,.83130348
1947,42,Dominican Republic,.83130348
1948,42,Dominican Republic,1
1949,42,Dominican Republic,1
1950,42,Dominican Republic,1
1951,42,Dominican Republic,1
1952,42,Dominican Republic,1
1953,42,Dominican Republic,1
1954,42,Dominican Republic,1
1955,42,Dominican Republic,1
1956,42,Dominican Republic,1
1957,42,Dominican Republic,1
1958,42,Dominican Republic,1
1959,42,Dominican Republic,1
1960,42,Dominican Republic,1
1961,42,Dominican Republic,1
1962,42,Dominican Republic,.16828956
1964,42,Dominican Republic,0
1965,42,Dominican Republic,.24923688
1967,42,Dominican Republic,.68640751
1968,42,Dominican Republic,.68640751
1969,42,Dominican Republic,.68640751
1970,42,Dominican Republic,.68640751
1971,42,Dominican Republic,.68640751
1972,42,Dominican Republic,.76271528
1973,42,Dominican Republic,.68640751
1974,42,Dominican Republic,.68640751
1975,42,Dominican Republic,.68640751
1976,42,Dominican Republic,.68640751
1977,42,Dominican Republic,.68640751
1978,42,Dominican Republic,.68640751
1946,70,Mexico,0
1947,70,Mexico,0
1948,70,Mexico,0
1949,70,Mexico,0
1950,70,Mexico,0
1951,70,Mexico,0
1952,70,Mexico,0
1953,70,Mexico,0
1954,70,Mexico,0
1955,70,Mexico,0
1956,70,Mexico,0
1957,70,Mexico,0
1958,70,Mexico,0
1959,70,Mexico,0
1960,70,Mexico,0
1961,70,Mexico,0
1962,70,Mexico,0
1963,70,Mexico,0
1964,70,Mexico,0
1965,70,Mexico,0
1966,70,Mexico,0
1967,70,Mexico,0
1968,70,Mexico,0
1969,70,Mexico,0
1970,70,Mexico,0
1971,70,Mexico,0
1972,70,Mexico,0
1973,70,Mexico,0
1974,70,Mexico,0
1975,70,Mexico,0
1976,70,Mexico,0
1977,70,Mexico,0
1978,70,Mexico,0
1979,70,Mexico,0
1980,70,Mexico,0
1981,70,Mexico,0
1982,70,Mexico,0
1983,70,Mexico,0
1984,70,Mexico,0
1985,70,Mexico,0
1986,70,Mexico,0
1987,70,Mexico,0
1988,70,Mexico,0
1989,70,Mexico,0
1990,70,Mexico,0
1991,70,Mexico,0
1992,70,Mexico,0
1993,70,Mexico,0
1994,70,Mexico,0
1995,70,Mexico,0
1996,70,Mexico,0
1997,70,Mexico,0
1998,70,Mexico,0
1999,70,Mexico,0
2000,70,Mexico,0
1955,90,Guatemala,.39755204
1956,90,Guatemala,.46906376
1957,90,Guatemala,.46906376
1958,90,Guatemala,0
1959,90,Guatemala,.33389109
1960,90,Guatemala,.39755204
1961,90,Guatemala,.48440033
1962,90,Guatemala,.48440033
1963,90,Guatemala,.48440033
1964,90,Guatemala,0
1965,90,Guatemala,.16828956
1966,90,Guatemala,.25924563
1967,90,Guatemala,0
1968,90,Guatemala,0
1969,90,Guatemala,0
1970,90,Guatemala,0
1971,90,Guatemala,0
1972,90,Guatemala,0
1973,90,Guatemala,0
1974,90,Guatemala,0
1975,90,Guatemala,0
1976,90,Guatemala,0
1977,90,Guatemala,0
1978,90,Guatemala,0
1979,90,Guatemala,.24796054
1980,90,Guatemala,.24796054
