Series Name,Series Code,Country Name,Country Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,813.550255990893,747.688045459929,926.507941009788,966.962032047533,971.633503058856,1076.08735259624,1121.83447075137,1286.9498431073,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512665,2211.28063454007
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,2549.24986094816,1908.94795736904,3471.66151072582,3861.3041361551,4300.81234082436,4661.39281830022,5000.34329467088,5427.87477337732,5865.30563672047,6566.53515410888,7285.02731350339,11259.2559553602,11662.0057774038,12078.8277189549,12771.0037929102,13696.8427457045,14792.2618929217,14512.053775245,16113.1365187234,19429.9213167081,21208.2100254534
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,7602.1872565437,7582.07194481605,8776.44209463643,9186.81590337785,9543.52035341031,10080.1825003517,10802.7506701297,11431.6856716154,12246.2692241793,12791.3412603745,13320.9641206136,14694.143827383,13807.3515841478,13437.8460232169,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15836.0944368871,16824.4879032987
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,24908.8709432463,24510.2460829667,31589.9582429847,33458.1181631977,36895.4402445087,38787.0522541539,41147.8806959814,42717.2377748966,44577.8193346422,46852.6583900414,47501.4309293902,48505.6017354794,50733.2390011701,53110.1426270832,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68470.075948385,71730.6686821645
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,3340.5984816713,3372.59696858821,3262.97552882462,3326.77991383311,3427.85394948502,3824.28480436462,3878.50795455112,4262.90601264127,4876.28768389176,5404.38383004397,6095.99926680138,7990.27445672775,7119.72644274401,6843.73589660504,6992.7288342812,7347.79993635052,7528.38241791217,6450.74994625154,7408.12659121059,7924.88880583905,8040.70244971812
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,12935.2240473887,13594.5744870247,18003.7457273572,19228.4914831342,18481.7936276429,18724.7524583257,20033.2130195805,21527.4546791969,23374.9339326556,26823.3022216683,29710.9257725145,21673.3949588348,20989.3858896307,21321.7097579145,21370.3095091624,24524.2137953887,26533.7301936962,22356.7687224849,25733.2948269644,30031.7474698743,32149.1403648823
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,7158.30849127952,7960.97844042597,11463.853308121,11499.9828002698,11117.754923304,9953.46492878861,10933.3925490662,12117.6797424618,13464.8128469003,14843.5778656186,16455.1129799188,19487.4181748868,19899.1499275245,20105.761359796,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29597.6938429264,30082.3045247323
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,2760.24950013383,2476.60309212528,2376.51916942321,2530.74394657588,2844.36266354649,3282.11706336711,3836.22556765401,4377.22759688046,5172.21892096961,6072.75924465718,7136.75405509164,9736.2349746279,9756.84084836026,10570.2720413936,12066.0043093819,12877.4937543553,14975.7539538157,14706.3173043422,15921.705281964,19161.370051419,21342.5145334886
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,21732.8583139266,23099.9400860323,27765.6532571053,30245.7069739744,31920.239071845,31888.5087368958,32507.0843145555,35059.2730980113,35098.7976687362,35937.5946548103,37768.5660136644,35657.2871970529,35972.8664446515,36117.5082112517,37524.9284784013,39287.0195169703,39110.2761899842,28976.4635497124,35696.3093722926,41649.4507917816,44967.3445127078
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,17381.2252724823,17835.8304564765,25485.39144594,26541.6653208437,27645.8140289701,29032.4909555888,30121.8184177337,31763.7960926854,33036.5834770249,34846.7156302418,36653.8417179443,46903.770304139,46263.731388772,47260.1529933747,48371.1409956585,50183.6898127634,52673.0638176231,53984.1246979075,58145.5513641715,65834.7848928357,70340.217162223
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,19382.9664747914,20522.1855149093,27500.084954534,29214.7386484813,29556.403560049,30952.1708232398,31962.9255331065,33523.0204968283,34776.6699535218,37396.0350960866,39193.8173640977,48355.4977624407,49562.5939257986,52397.8635176673,53869.8321183555,56636.4953030539,60354.9279422121,58523.0337816244,62912.1741140595,70675.5146633219,70296.6607641556
