ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.054558413,0.015183167,0.01990643,0.060129421,0.059364996,0.065817951,0.060565257,0.041072085,0.040892395,0.040366333,0.10232233,0.064872156,0.068986254,0.056050904,0.185965493,0.832555716,0.08150265,0.205422742,0.25881847,0.117926159,0.516200309,0.461682312,0.458440002
AFG,0.342998005,0.222288599,0.547030367,0.251221297,0.505650072,0.44334616,0.696075401,0.434075472,0.415404146,0.350715663,0.563478885,0.342555853,0.367625353,0.446159881,0.919357609,0.57454689,0.366662881,0.319235122,0.311154901,0.277513439,0.245871833,0.227826862,0.263098772
AGO,0.002765366,0.006930946,0.012758305,0.014305131,0.009663681,0.007680236,0.006867792,0.005976563,0.001409146,0.008245684,0.001005801,0.000924582,0.008184531,0.005665343,0.011782095,0.008906444,0.003438205,0.006774826,0.007606399,0.005103654,0.027027786,0.018324831,0.02150588
ALB,0.38131047,0.556077311,0.433938115,0.403893543,0.44993281,0.626659778,0.490414985,0.54102159,0.633425189,0.517996964,0.579272192,0.446738856,0.485661674,0.663358603,0.76260075,0.404066713,0.536249613,0.42526778,0.476346998,0.37337388,0.386574466,0.410937776,0.461135603
AND,1.506245728,1.312472462,1.306901703,1.452497815,1.236847968,NaN,1.338253457,1.228142569,1.22865882,1.210434474,0.912058847,1.181042365,1.46315231,1.04055533,1.019378656,0.923175659,0.794459279,0.961839145,0.82946734,0.599273453,NaN,NaN,NaN
ANT,0.192178599,0.153582108,0.450206274,0.496132139,0.401288888,0.36087403,0.168643637,0.274425027,0.212918832,0.341815081,0.213205081,0.311659143,0.289935482,0.261095436,0.251040579,0.25736495,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,0.291382221,0.296438787,0.315298632,0.358418478,0.333479999,0.344312222,0.358164578,0.420280297,0.402928565,0.607424795,0.567025872,0.311694621,0.741703507,0.452649474,0.406055862,0.770480995,0.520170734,0.331991516,0.418576087,0.752587962,0.716505447,0.607856605,0.474155319
ARG,0.793100244,0.753059407,0.746975984,0.667702074,0.951842575,0.933269553,0.806306482,0.668326948,0.722514889,0.737276166,0.791665582,0.770131238,0.719846392,0.762807054,0.798692876,0.745454408,0.791060264,0.809304844,0.855503715,0.845657836,0.839992409,0.660504768,0.657761162
AUS,1.188278049,1.107763503,0.95626572,0.935573424,0.853531617,0.973400457,0.84639089,0.87478996,0.889523766,0.734833466,0.766807175,0.721621082,0.750229295,0.731608644,0.624382896,0.513613268,0.52603588,0.463091685,0.508132509,0.544593898,0.520999171,0.476454979,0.517560051
AUT,4.375525099,3.138516881,2.929177066,2.950835252,2.881445046,2.582461118,2.298139669,2.159335094,2.857801199,2.476799186,2.784453669,2.435633463,2.370350946,2.238985609,1.888120012,2.043356833,2.369937504,2.312032018,2.313124171,2.540971562,2.302631717,2.406590437,2.694879821
